=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.06 16:46:24 =~=~=~=~=~=~=~=~=~=~=~=
GPS Status: Invalid, Temp: 0.0 °C, Hum: 13.0 %
GPS Status: Invalid, Temp: 0.0 °C, Hum: 13.0 %
GPS Status: Invalid, Temp: 0.0 °C, Hum: 13.0 %
GPS Status: Invalid, Temp: 0.0 °C, Hum: 13.0 %
GPS Status: Invalid, Temp: 0.0 °C, Hum: 13.0 %
GPS Status: Invalid, Temp: 25.6 °C, Hum: 13.9 %
GPS Status: Invalid, Temp: 25.6 °C, Hum: 13.9 %
GPS Status: Invalid, Temp: 25.6 °C, Hum: 13.9 %
GPS Status: Invalid, Temp: 25.6 °C, Hum: 13.9 %
GPS Status: Invalid, Temp: 25.6 °C, Hum: 13.9 %
GPS Status: Invalid, Temp: 25.5 °C, Hum: 13.4 %
GPS Status: Invalid, Temp: 25.5 °C, Hum: 13.4 %
GPS Status: Invalid, Temp: 25.5 °C, Hum: 13.4 %
GPS Status: Invalid, Temp: 25.5 °C, Hum: 13.4 %
GPS Status: Invalid, Temp: 25.5 °C, Hum: 13.4 %
GPS Status: Invalid, Temp: 25.5 °C, Hum: 13.4 %
GPS Status: Invalid, Temp: 24.9 °C, Hum: 13.6 %
GPS Status: Invalid, Temp: 24.9 °C, Hum: 13.6 %
GPS Status: Invalid, Temp: 24.9 °C, Hum: 13.6 %
GPS Status: Invalid, Temp: 24.9 °C, Hum: 13.6 %
GPS Status: Invalid, Temp: 24.9 °C, Hum: 13.6 %
GPS Status: Invalid, Temp: 25.0 °C, Hum: 13.2 %
